ARTICLE_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,PUBLISH_DATE,VIEWS_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,BLOG_POST_SENTIMENT
352781731130,TWEET FROM: MKRSUDE,MKRSUDE,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/mkrsude/statuses/568688969283547136,TWITTER,Feb 20 2015 08:29 AM,7582490,610,184,2,834,3,1,47815,4981,931,Positive
352782082450,TWEET FROM: RAJU_MODI,RAJU_MODI,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/Raju_Modi/statuses/568688951852015617,TWITTER,Feb 20 2015 08:29 AM,18314924,467,154,9,757,2,3,89200,2678,7458,Negative
352781671125,TWEET FROM: VENKATKKD,VENKATKKD,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/venkatkkd/statuses/568688867429101568,TWITTER,Feb 20 2015 08:29 AM,22559226,681,197,1,802,4,12,32128,3661,20270,Positive
352780683421,TWEET FROM: DX_ARUN,DX_ARUN,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/dx_arun/statuses/568687552963551232,TWITTER,Feb 20 2015 08:24 AM,10472483,321,153,10,809,3,14,91513,26521,7807,Neutral
352780467954,TWEET FROM: C_TUCKLEY,C_TUCKLEY,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/c_tuckley/statuses/568687267025276928,TWITTER,Feb 20 2015 08:23 AM,18459166,553,171,5,573,1,14,59005,30055,1197,Neutral
352780422226,TWEET FROM: RISHIBHUTADA,RISHIBHUTADA,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/rishibhutada/statuses/568687207281598464,TWITTER,Feb 20 2015 08:22 AM,19395416,486,178,0,794,3,6,14039,38312,3084,Positive
352779623665,TWEET FROM: SSSSUUMMEET,SSSSUUMMEET,"""The axe forgets but the tree remembers"" #बदलाPUR Revenge Redefined By DEDICATION and Patience towards Revenge by @Varun_dvn @YamiGautam_YG",http://twitter.com/ssssuummeet/statuses/568686153777283072,TWITTER,Feb 20 2015 08:18 AM,12431197,490,179,0,925,0,7,18225,28639,609,Negative
352779284834,TWEET FROM: BKKUMAR8284,BKKUMAR8284,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/bkkumar8284/statuses/568685760527757312,TWITTER,Feb 20 2015 08:17 AM,7650722,582,209,7,678,0,9,46362,10462,18747,Positive
352779148788,TWEET FROM: MRKOTIANS,MRKOTIANS,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/mrkotians/statuses/568685556814589952,TWITTER,Feb 20 2015 08:16 AM,3509954,593,205,7,667,4,2,20396,17401,25273,Positive
352779086311,TWEET FROM: THEPUNITTIWARI,THEPUNITTIWARI,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/ThePunitTiwari/statuses/568685489294696448,TWITTER,Feb 20 2015 08:16 AM,14970450,480,162,10,917,2,8,98095,25515,5890,Negative
352779077663,TWEET FROM: IYERSIM,IYERSIM,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/Iyersim/statuses/568685487176572928,TWITTER,Feb 20 2015 08:16 AM,23606942,725,217,9,851,3,0,61663,6055,55939,Positive
352779062892,TWEET FROM: MANRENAISSANCE,MANRENAISSANCE,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/manrenaissance/statuses/568685448597368832,TWITTER,Feb 20 2015 08:15 AM,17098851,632,259,4,870,4,13,83013,30450,6943,Positive
352778911762,TWEET FROM: MICHTASHADOW,MICHTASHADOW,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/michtashadow/statuses/568685253226676224,TWITTER,Feb 20 2015 08:15 AM,8574086,624,155,5,733,3,10,41514,31168,137,Neutral
352778877743,TWEET FROM: SHIVAAGARWAL91,SHIVAAGARWAL91,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/shivaAgarwal91/statuses/568685253029556224,TWITTER,Feb 20 2015 08:15 AM,9206570,325,257,10,743,0,7,14852,17408,2064,Negative
352778844096,TWEET FROM: RIAMHATRE,RIAMHATRE,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/Riamhatre/statuses/568685229205893120,TWITTER,Feb 20 2015 08:14 AM,23572337,750,218,1,949,5,1,56218,21100,28455,Positive
352778727608,TWEET FROM: SATVIKSOUL,SATVIKSOUL,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/satviksoul/statuses/568685133768695808,TWITTER,Feb 20 2015 08:14 AM,20135832,519,245,7,504,3,6,55860,7534,1200,Positive
352778770704,TWEET FROM: SREEKANNOTH,SREEKANNOTH,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/sreekannoth/statuses/568685119092830208,TWITTER,Feb 20 2015 08:14 AM,24450288,649,217,4,522,4,14,15898,4223,10874,Positive
352778715289,TWEET FROM: HIMANSHUWANKHE7,HIMANSHUWANKHE7,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/himanshuwankhe7/statuses/568685110599376896,TWITTER,Feb 20 2015 08:14 AM,9943009,732,180,3,884,3,6,44132,9573,15146,Negative
352778649108,TWEET FROM: MOHANGAUTAMH,MOHANGAUTAMH,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/MohanGautamH/statuses/568685041829748736,TWITTER,Feb 20 2015 08:14 AM,10083393,592,158,1,710,4,3,12070,9407,1832,Positive
352778825975,TWEET FROM: MANEKSHAWS,MANEKSHAWS,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/manekshaws/statuses/568684868579639296,TWITTER,Feb 20 2015 08:13 AM,981701,468,196,3,821,4,8,80095,15814,52576,Positive
352778454612,TWEET FROM: 25RBY,25RBY,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/25rby/statuses/568684834815504384,TWITTER,Feb 20 2015 08:13 AM,17034909,544,191,10,587,3,8,85355,17837,25117,Neutral
352778777749,TWEET FROM: MODIARMY,MODIARMY,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/Modiarmy/statuses/568684676237246464,TWITTER,Feb 20 2015 08:12 AM,2011380,653,237,2,997,0,14,19697,26211,18289,Positive
352778322717,TWEET FROM: KSSAURAV,KSSAURAV,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/kssaurav/statuses/568684582364581888,TWITTER,Feb 20 2015 08:12 AM,13625826,343,169,0,805,2,14,31276,2982,36868,Negative
352777037992,TWEET FROM: LUCKYFRESH,LUCKYFRESH,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/luckyfresh/statuses/568682922615549952,TWITTER,Feb 20 2015 08:05 AM,2460571,539,292,4,576,4,0,68348,18699,26559,Positive
352776808409,TWEET FROM: PIOUSDEVIL,PIOUSDEVIL,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/piousdevil/statuses/568682631707037696,TWITTER,Feb 20 2015 08:04 AM,5615243,410,235,3,545,3,10,65182,4538,20638,Negative
352776772400,TWEET FROM: POLITICOPANDIT,POLITICOPANDIT,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/politicopandit/statuses/568682587016704001,TWITTER,Feb 20 2015 08:04 AM,2633998,653,277,1,651,3,12,22712,30425,3126,Negative
352776322920,TWEET FROM: SAFFROVATICIDE,SAFFROVATICIDE,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/Saffrovaticide/statuses/568682103740563456,TWITTER,Feb 20 2015 08:02 AM,15813807,451,154,9,666,3,0,36246,22029,6097,Positive
352776158923,TWEET FROM: DESHKAVASHI,DESHKAVASHI,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/DeshKaVashi/statuses/568681909326192640,TWITTER,Feb 20 2015 08:01 AM,4874995,512,259,10,898,1,6,96620,33778,2705,Negative
352776095919,TWEET FROM: KSMSUNDARAM1975,KSMSUNDARAM1975,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/ksmsundaram1975/statuses/568681853294481408,TWITTER,Feb 20 2015 08:01 AM,5770298,636,195,4,505,3,11,2593,16875,115414,Neutral
352775781735,TWEET FROM: VAKEEL4ALL,VAKEEL4ALL,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/vakeel4all/statuses/568681465753387008,TWITTER,Feb 20 2015 08:00 AM,20241674,785,264,1,648,0,7,28518,12234,8549,Positive
352775779980,TWEET FROM: RANJANSR,RANJANSR,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/ranjansr/statuses/568681463870173184,TWITTER,Feb 20 2015 08:00 AM,19362515,608,160,1,605,3,15,80691,10431,9710,Positive
352775721547,TWEET FROM: SUPERSAUNIK,SUPERSAUNIK,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/supersaunik/statuses/568681365626974208,TWITTER,Feb 20 2015 07:59 AM,11823496,428,156,8,530,5,3,18679,25183,11370,Positive
352775508190,TWEET FROM: ABDULLAH_0MAR,ABDULLAH_0MAR,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/abdullah_0mar/statuses/568681050412597248,TWITTER,Feb 20 2015 07:58 AM,8054723,670,277,9,642,2,12,46496,37400,22264,Positive
352775150366,TWEET FROM: VANDANISM,VANDANISM,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/Vandanism/statuses/568680586878939136,TWITTER,Feb 20 2015 07:56 AM,9484424,731,161,9,644,4,10,56747,32822,6800,Neutral
352774351283,Bangladesh vs Australia ICC Cricket World Cup 2015 Match 11 Video Preview on Star Sports,AAYUSH PUTHRAN | INDIA.COM SPORTS DESK," Playing XI. However, that could mean a selection conundrum and George Bailey is likely to face the axe. Shane Watson has been struggling with the bat too and he won’t have too many chances to prove his worth in the side. However, Steve Smith and David Warner continue to be their trump cards. (Also Read:Top 3...",http://us.india.com/sports/bangladesh-vs-australia-icc-cricket-world-cup-2015-match-11-video-preview-on-star-sports-289213/,Aggregator,Feb 20 2015 07:27 AM,16285441,794,291,6,615,4,9,64679,30249,0,Positive
352769300433,TWEET FROM: SANDEEPCOL,SANDEEPCOL,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/SANDEEPCOL/statuses/568672993729056768,TWITTER,Feb 20 2015 07:26 AM,16574133,646,264,0,669,5,8,88059,38688,34616,Negative
352768853830,TWEET FROM: SATH_HUM,SATH_HUM,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/Sath_Hum/statuses/568672424822054912,TWITTER,Feb 20 2015 07:24 AM,23757920,727,203,6,875,4,12,47220,37507,5015,Positive
352767951606,TWEET FROM: 56PERUMAL,56PERUMAL,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/56perumal/statuses/568671238974881792,TWITTER,Feb 20 2015 07:19 AM,13979450,609,153,2,749,3,4,60204,12805,97336,Neutral
352767872407,TWEET FROM: TOPOSANT55,TOPOSANT55,"RT @Oubler Shehzad faces axe after spat with fielding coach, journalist  Following reports of three senior Pakistan players... http://t.co/BuaEP7hxaG",http://twitter.com/toposant55/statuses/568671135782473728,TWITTER,Feb 20 2015 07:18 AM,11207780,307,150,7,572,0,13,76539,21737,76361,Neutral
352767330076,TWEET FROM: AROGRAN_BISHAL,AROGRAN_BISHAL,The axe forgets it but the tree remembers...    Nawazuddin siddique class acting. \m/   1stDay1stshow bcoz we... http://t.co/yEDPidf2tv,http://twitter.com/arogran_bishal/statuses/568670490908332032,TWITTER,Feb 20 2015 07:16 AM,2294324,426,154,9,664,5,15,9539,29271,274,Positive
352767275079,TWEET FROM: SANOJKPAREEK,SANOJKPAREEK,RT @IndiaSpeaksPR Remember Sagarika Ghose asking CAG Vinod Rai whether he had an axe to grind with the Govt? Not a peep since the auction proved him right,http://twitter.com/SanojKPareek/statuses/568670419454025729,TWITTER,Feb 20 2015 07:16 AM,741105,378,185,9,752,0,6,57373,28384,47345,Negative
352762838465,TWEET FROM: RAJNISH0904,RAJNISH0904,"RT @ShridharR ""The axe forgets. The tree remembers."" Take a tour of the darkest wickedest recesses of the human heart. Come to Badlapur :)",http://twitter.com/rajnish0904/statuses/568664977600421888,TWITTER,Feb 20 2015 06:54 AM,8042203,569,188,0,637,4,11,2619,37098,693,Positive
